post_id,created_at,category,format,caption,hashtags_count,media_count,followers,reach,impressions,likes,comments,saves,shares,watch_3s_rate,watch_completion_rate,carousel_swipe_rate,profile_visits,views,engagement_proxy_count,engagement_proxy_rate,proxy_flags
DWyTwopmU8y,2026-04-06 10:00:03,fitness,carousel,"Outfit inspo? We got you ✨
오늘 뭐 입지?
우리가 알려줄게 ✨",0,7,29622840,10367994.0,12441592.8,436097,1572,79126,9272,,,55.0,,0,439241.0,1.4828,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DWyuwJqESEr,2026-04-06 14:01:02,business,reels,native B2B features are now available to way more merchants,0,1,2362280,14997.0,17996.4,518,68,120,34,9.59,5.56,,,14997,654.0,0.0277,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWzPZw6DNJ-,2026-04-06 18:47:07,lifestyle,reels,We went to the cottage on @airbnb let us show you around 😏 #airbnbpartner,1,1,6846220,440090.0,528108.0,58952,518,10819,1360,29.99,17.39,,,440090,59988.0,0.8762,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DWzcwNJydrc,2026-04-06 20:39:22,food,reels,serving good energy tomorrow.,0,1,17769641,194880.0,233856.0,27114,570,5109,742,31.9,18.5,,,194880,28254.0,0.159,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXAOX62E4SX,2026-04-11 19:42:50,education,carousel,"You've likely seen handmade signs like these today, and chances are, they made your life just a little easier. In her TED Talk, designer Kate Canales shares how she’s been photographing improvised signage for 20 years — from perplexing bathroom directions to our struggles with doors — and why she sees them as evidence that we still need each other out in the world. “The person who came before us took the time to leave some instructions to make sure that our experience is a little bit better than theirs,” she says. “And that is a sign of humanity that I am always happy to stumble upon.” Visit the link in our bio to see more charming signs.",0,8,8476300,2966705.0,3560046.0,17891,58,3244,378,,,59.0,,0,18007.0,0.2124,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXAr99tiXKg,2026-04-12 00:21:31,lifestyle,reels,@sabrinacarpenter needed a place to dry off on her way out of the desert,0,1,6846220,297551.0,357061.2,49846,171,9041,1057,37.11,21.52,,,297551,50188.0,0.7331,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXAxHKkFuMj,2026-04-12 00:45:54,food,single,"@coachella woke me up daily, don’t need no starbucks",0,1,17769641,6219374.35,7463249.22,26469,255,4866,619,,,,3329,0,26979.0,0.1518,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DXBa652jEXd,2026-04-12 06:51:14,fitness,carousel,"@gout.goutt is no longer the future. He’s right now.

Aged 18, he blazes an incredible new 200m U20 world and Australian record in 19.67. 

#YouGotThis",1,2,29622840,10367994.0,12441592.8,49885,201,9060,1068,,,36.5,,0,50287.0,0.1698,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCFIVFkpq6,2026-04-12 13:00:00,shop,carousel,The festival FOMO is real. Good thing Prime’s got you covered from last minute fit needs to ways to pretend you’re there 🎡 🤠 We’re streaming Stagecoach on @primevideo and we’ve got your playlists covered on @amazonmusic 🎶,0,2,6335142,2217299.7,2660759.64,284,61,76,27,,,35.0,,0,406.0,0.0064,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCXZgDjwVj,2026-04-12 15:39:48,travel,carousel,"In Cartagena — the Colombian coast’s crown jewel — a special magic comes from the confluence of AfroCaribbean, indigenous and Spanish influences. Each is reflected in the music, art and food, including street fruit vendors (known as fruteros) like these ones.

📸: @juantapiasphoto",0,10,3395153,1188303.55,1425964.26,2263,45,425,61,,,67.0,,0,2353.0,0.0693,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXCucdGEUE_,2026-04-12 21:01:04,shop,reels,"Serving space, not taking it ✨ Set it up when you need it, fold it away when you don’t at the link in bio #AmazonFinds

🎥: @groundedinneutral",1,1,6335142,12780.0,15336.0,415,97,114,42,10.48,6.08,,,12780,609.0,0.0096,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXDHel6Ed9F,2026-04-12 22:54:50,fashion,reels,"No alterations needed. 

@rorymcilroy proves he is tailored for the moment, securing back-to-back jackets at Augusta.",0,1,297515324,3181894.0,3818272.8,74547,695,13696,1734,8.0,4.64,,,3181894,75937.0,0.0255,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXDcf4CljI2,2026-04-13 01:43:30,food,carousel,scenes from our coffeehouse @coachella,0,12,17769641,6219374.35,7463249.22,24329,242,4476,571,,,75.0,,0,24813.0,0.1396,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXEbTrSDJVQ,2026-04-13 10:52:20,fitness,carousel,"From Shanghai to the world, celebrating the next chapter of CLIMACOOL. The future of comfort engineered to breathe.",0,14,29622840,10367994.0,12441592.8,27626,232,5065,634,,,83.0,,0,28090.0,0.0948,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXEceFDk7TC,2026-04-13 13:01:29,shop,reels,"Summer mermaid hair starts at the roots + the link in bio 🧜‍♀️ #AmazonFinds

🎥: @glenxda",1,1,6335142,78800.0,94560.0,1099,266,304,115,8.0,4.64,,,78800,1631.0,0.0257,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXFATjnCZMr,2026-04-13 16:15:44,travel,carousel,"“If you love a good flower field, Iceland in summer should rank at the top of your list,” says Lonely Planet contributor Bailey Freeman (@the_traveling_b). “The island country takes on a blanket of purple blooms that contrast strikingly with the black volcanic soil and soft green moss that are characteristic of its environment.” Get more botanical recommendations from our expert travelers at the link in bio 🔗",0,7,3395153,1188303.55,1425964.26,1091,4,198,23,,,55.0,,0,1099.0,0.0324,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXFDqs-EVZC,2026-04-13 16:48:28,lifestyle,reels,We asked around at Sabrina’s Pit Stop… turns out everyone has strong opinions about suitcases on the bed.,0,1,6846220,74793.0,89751.6,6746,97,1253,169,20.41,11.84,,,74793,6940.0,0.1014,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXFYulTE41M,2026-04-13 19:49:14,education,single,"Can individual actions actually make a difference in the fight against climate change? According to behavioral scientist Jiaying Zhao, not only are they important for pushing towards structural changes, but they can make you feel happier, too. In her TED Talk, she introduces ""happy climate hacks"" — small, easy shifts like rethinking how you store veggies or carpooling to work — as a way for you take make changes at home that feel sustainable and have a real impact. Visit the link in @TED’s bio to watch her full talk.",0,1,8476300,2966705.0,3560046.0,890,13,165,22,,,,115,0,916.0,0.0108,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DXFZgcciEn6,2026-04-13 19:57:26,business,reels,"Let me show you around my DIY decoden studio! What started on Twitch turned into a real business, and @shopify made it possible by helping me run everything smoothly.
Seeing your creations is my favorite part thank you for being here! #ad #ShopifyPartner",2,1,2362280,40605.0,48726.0,4773,53,880,114,26.43,15.33,,,40605,4879.0,0.2065,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXFh017kkqe,2026-04-13 21:08:32,shop,carousel,THE cardigan has entered the chat. 🦊 Now you can knit it yourself. The official Mary Maxim Knitting Kit is available on Amazon. Link in bio. #ProjectHailMary,1,2,6335142,2217299.7,2660759.64,58458,305,10644,1276,,,36.5,,0,59068.0,0.9324,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXGGIiRDM-e,2026-04-14 02:27:43,lifestyle,reels,made a pit stop with our girl 🩵⛽️,0,1,6846220,216291.0,259549.2,72234,388,13157,1580,74.26,43.07,,,216291,73010.0,1.0664,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXGPKuGCCUL,2026-04-14 03:46:06,education,reels,"Last year, we invited all of you to pitch us your biggest, boldest ideas — and from thousands of submissions, we now reach the final 10 — and you’re invited to see them share their talks LIVE this Thursday, April 16 at 11:45AM ET — directly from TED2026. Visit the link our bio to RSVP to be notified as soon as we go live on YouTube.",0,1,8476300,21199.0,25438.8,542,15,104,16,8.0,4.64,,,21199,572.0,0.0067,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXH0-XNl-QJ,2026-04-14 18:35:43,shop,reels,"Heat-Hornets. Blazers-Suns.

Don’t miss night one of the SoFi NBA Play-In Tournament on @primevideo 🍿 Coverage begins tonight at 7 PM ET",0,1,6335142,3913.0,4695.6,297,94,91,39,27.27,15.82,,,3913,485.0,0.0077,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXH0UdjpOCa,2026-04-14 18:31:34,food,reels,"computa, enhance on the new iced mango cream matcha and iced mango cream chai",0,1,17769641,56014.0,67216.8,4193,216,841,159,18.17,10.54,,,56014,4625.0,0.026,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXHG1t4APtQ,2026-04-14 11:51:12,travel,carousel,"GUIDE TO AZORES, PORTUGAL 🇵🇹 “Lush pastures, black-sand beaches, deep lakes and plunging waterfalls are the islands’ calling card,” says Lonely Planet contributor Sandra Henriques. But, maybe most importantly, “the landscapes change from island to island, which is why ‘seen one, seen them all’ doesn’t apply here.” Link in bio for more #BestinTravel picks, our guide to the best places to visit in 2026 🔗",1,11,3395153,1188303.55,1425964.26,1586,14,291,37,,,72.5,,0,1614.0,0.0475,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXHQeg3FKdr,2026-04-14 13:15:00,shop,carousel,"These characters and this show is everything to us 🫶🥹 Rockin’ Grandma’s, gone but not forgotten. Catch Season 2 of @jurydutypresents on @primevideo. #jurydutypresents #companyretreat",2,9,6335142,2217299.7,2660759.64,508,134,145,57,,,66.0,,0,776.0,0.0122,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXHh7TDEbZH,2026-04-14 16:00:14,business,reels,"solopreneurs, this one’s for you",0,1,2362280,8894.0,10672.8,264,31,60,16,8.06,4.67,,,8894,326.0,0.0138,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXHqNApEeq7,2026-04-14 17:00:13,lifestyle,carousel,Locked in on my rest and relaxation sanctuary in the desert ✮⋆˙ thank you @airbnb,0,9,6846220,2396177.0,2875412.4,146053,1340,26826,3390,,,63.0,,0,148733.0,2.1725,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXIKLCSgV-I,2026-04-14 21:40:36,education,reels,"What will the future of learning and careers look like in this new age of AI? Here’s TED Vision Steward and Khan Academy CEO Sal Khan with an exciting announcement about a brand new collaboration between TED, @KhanAcademy and ETS (@etsinsights) designed to help prepare the next generation with the skills they need to thrive in work, life and society amid rapid technological change. Visit the link in TED’s bio to learn more about the Khan TED Institute and how you can get involved.",0,1,8476300,57831.0,69397.2,3983,81,749,108,15.77,9.15,,,57831,4145.0,0.0489,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXIhCNviAfg,2026-04-15 01:00:36,education,reels,"If you feel frustrated that creating real change  is an uphill battle, you’re not alone. In this moving first talk from #TED2026, Nobel laureate Malala Yousafzai (@malala) shares what she has learned after a decade of advocating for girls’ education, the moment she lost hope and the 3 lessons she learned about working for the future you want. Visit the link in our bio to watch the full talk.",1,1,8476300,103771.0,124525.2,7311,311,1440,255,16.82,9.76,,,103771,7933.0,0.0936,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXJ9Ub4EV2e,2026-04-15 14:27:19,business,reels,can you repeat that?,0,1,2362280,12915.0,15498.0,225,32,53,16,8.0,4.64,,,12915,289.0,0.0122,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXJl0HECC0j,2026-04-15 13:00:56,shop,reels,"What memories are you printing first? 📸 Keep your favorite moments close and shop this photo printer at the link in bio #AmazonFinds

🎥: @laurshaps",1,1,6335142,13745.0,16494.0,263,88,83,36,8.0,4.64,,,13745,439.0,0.0069,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXKVssWCKNU,2026-04-15 18:00:07,education,reels,"Collaborating with people whose minds think differently from your own can produce wonders, says Alex Rosenthal, editorial director of @TEDEdAnimation and TED Games. In his TED Talk, he breaks down the mind’s eye spectrum — from aphantasia, the inability to picture anything at all, to hyperphantasia, the ability to visualize in extreme detail. Do you have one of these conditions or do you fall somewhere in between? Visit the link in our bio to watch the full talk.",0,1,8476300,34452.0,41342.4,1854,28,345,47,12.2,7.08,,,34452,1910.0,0.0225,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXKbvgjPduL,2026-04-15 18:52:02,food,reels,a moment for mango,0,1,17769641,30668.0,36801.6,2916,175,595,120,23.43,13.59,,,30668,3266.0,0.0184,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXKc8m-AF_j,2026-04-15 21:00:39,shop,reels,"Raising the bar on backyard blooms 🌱 Grow your own garden with ease at the link in bio #AmazonFinds

🎥: @hannnnahadams",1,1,6335142,27399.0,32878.8,496,109,133,48,8.0,4.64,,,27399,714.0,0.0113,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXKgwMWCO_3,2026-04-15 19:36:12,travel,reels,"""This is Buenos Aires as I experience it: elegant, beautiful, intense and chaotic all at once – like a first love that stays with you forever,"" says Lonely Planet Correspondent @gabitofranco of @tripinargentina. ""This is my way of showing it from within, as someone who was bBuenosAires_dual_v2orn and raised on its streets."" From a renowned 18th-century opera house to a weekly celebration of Argentinian gaucho (country life) culture, Gabriel shows off the can't-miss experiences that make him so passionate about his home city.",0,1,3395153,15972.0,19166.4,1169,88,246,54,18.53,10.75,,,15972,1345.0,0.0396,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXLNwvQFvhG,2026-04-16 13:00:01,shop,single,"Fuel-Up Fridays are back. Prime members can save 20 cents per gallon at more than 7,500 bp, Amoco, and participating ampm and Thorntons locations every Friday until 5/29.",0,1,6335142,2217299.7,2660759.64,206,118,84,45,,,,96,0,442.0,0.007,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DXMtCbmkXwI,2026-04-16 16:02:04,travel,reels,"""I love the idea that something so rooted in tradition can still feel so modern,"" says Lonely Planet Correspondent @philoudarblay, a Paris local who says the bistro scene has been recharged in Paris with some hot new restaurants (full list below). ""These places are part of my everyday life in Paris, places I go with friends and family. They are welcoming, easy to go to at any time, whether you’re alone or with others – I also chose spots in very different neighborhoods, each with its own vibe.""
@club.cochon.paris
@chez_margaux_paris
@a_la_renaissance
@bistrotdarsy
@auberge_des_crus 
@paulchenecherchemidi",0,1,3395153,33156.0,39787.2,1652,39,313,47,11.48,6.66,,,33156,1730.0,0.051,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXMxdnGEbLT,2026-04-16 16:41:26,business,reels,i can’t believe it’s been almost 5 years since my first packaging video for @roguegarms went viral and I’m so glad @shopify has been by my side for the whole journey!🥹 here’s to 50 more :) #shopifypartner,1,1,2362280,18873.0,22647.6,984,43,194,35,12.47,7.23,,,18873,1070.0,0.0453,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXMyQ-GlP84,2026-04-16 16:46:52,food,carousel,"it takes two to mango 🥭 

how to order drink 1: venti dragon drink, no inclusions, 2 pumps mango syrup, 2 pumps toasted coconut syrup, mango cream cold foam

how to order drink 2: venti vanilla bean creme frappuccino® drink, sub coconutmilk, 4 pumps mango syrup, light caramel drizzle, toasted coconut toppings",0,4,17769641,6219374.35,7463249.22,105394,536,19185,2295,,,43.0,,0,106466.0,0.5991,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXNUdwOAaBg,2026-04-16 21:46:39,education,reels,"The American workforce was not built for the AI disruption, says @ginaraimondo, former Governor of Rhode Island and US Secretary of Commerce. But there’s still time to prepare for what’s next. In her #TED2026 Talk, she gives an unflinching review of AI’s impact on work, education and the economy — and offers real solutions to restructure, regroup and adapt for this new era. Visit the link in our bio to watch the full talk.",1,1,8476300,84027.0,100832.4,4954,305,1014,206,14.57,8.45,,,84027,5564.0,0.0656,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXP7ZVngZJv,2026-04-17 22:05:28,education,reels,"AI agents — independent AIs that can think, make decisions, and take actions on their own — are on the rise, and thanks to OpenClaw founder Peter Steinberger, making your own is now more accessible than ever. In this brand new TED Talk from TED2026, he shares the origins of OpenClaw, his strong belief in it’s potential as an open-source software and how agents built by all of us will become even more transformational than chatbots. Visit the link in our bio to learn more.",0,1,8476300,44165.0,52998.0,2051,119,417,83,11.4,6.61,,,44165,2289.0,0.027,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXPHlnOAEa-,2026-04-17 14:31:40,travel,carousel,"GUIDE TO SPAIN 🇪🇸 In Cádiz, “watch a flamenco performance with local aficionados at the cavernous Peña Flamenca La Perla,” says Lonely Planet writer @anna.cohen.kaminski. Or, opt for a more touristy tablao (choreographed flamenco show) at the intimate La Cava. Express your appreciation by shouting “Viva la máquina escribir!” or “Long live the typewriter!” – a compliment dating back to an age when audiences thought that the noise made by the dancers’ rapid footwork resembled the clack of a typewriter. Tap the link in bio for all things #BestInTravel, our top places to visit this year 🔗",1,11,3395153,1188303.55,1425964.26,1005,10,185,24,,,72.5,,0,1025.0,0.0302,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXPN7O-Grvp,2026-04-17 15:27:40,shop,carousel,Score big this summer ⚽️ Gear up with official tournament merch at the link in bio #SummerOfSoccer #AmazonFinds,2,2,6335142,2217299.7,2660759.64,220,68,67,28,,,38.0,,0,356.0,0.0056,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXPNwXKkYcC,2026-04-17 15:25:34,business,carousel,"clean admin, clean mind",0,6,2362280,826798.0,992157.6,261,17,54,11,,,51.0,,0,295.0,0.0125,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DXPvo5CDdpA,2026-04-17 21:01:09,shop,reels,"A classic for a reason 🧊 Press, squeeze, repeat at the link in bio  #AmazonFinds",1,1,6335142,62515.0,75018.0,963,58,197,40,8.0,4.64,,,62515,1079.0,0.017,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXR5AB3j78e,2026-04-18 16:24:53,fashion,reels,"Not everyone can put on a show.✨
This is how I do it.😌
Nike A’Two drops May Two 🩷",0,1,297515324,59698.0,71637.6,7394,118,1378,189,28.12,16.31,,,59698,7630.0,0.0026,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DXRUMZ0DLjN,2026-04-18 13:00:49,shop,reels,"Because your walls deserve a glow-up, too 🙌 Shop these easy-to-install wall panels at the link in bio #AmazonFinds

🎥: @jodie.thedesigntwins",1,1,6335142,20460.0,24552.0,498,26,100,19,8.0,4.64,,,20460,550.0,0.0087,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
